stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:77415",,"Les Armagnacs",,,45.249283,0.686690,,,1,,,2,,
"MOBIITI:StopPlace:77536",,"Lacropte - Parking Salle des Fêtes",,,45.034946,0.829619,,,1,,,2,,
"MOBIITI:StopPlace:77500",,"Saint Amand de Vergt - La Crx de l'hirondelle",,,44.980495,0.702491,,,1,,,2,,
"MOBIITI:StopPlace:77501",,"Saint Mayme de Pereyrol - lac blanc",,,45.018745,0.636335,,,1,,,2,,
"MOBIITI:StopPlace:77509",,"Eglise Neuve de Vergt - Les Combes",,,45.084789,0.725477,,,1,,,2,,
"MOBIITI:StopPlace:77506",,"Breuilh - Mairie",,,45.056915,0.753458,,,1,,,2,,
"MOBIITI:StopPlace:77507",,"Breuilh - Les Landes",,,45.071564,0.738113,,,1,,,2,,
"MOBIITI:StopPlace:77504",,"Grun - Cimetière",,,45.056084,0.635779,,,1,,,2,,
"MOBIITI:StopPlace:77505",,"Bourrou - Bigot",,,45.040035,0.608651,,,1,,,2,,
"MOBIITI:StopPlace:77502",,"Saint Mayme de Pereyrol - bourg",,,45.014507,0.647083,,,1,,,2,,
"MOBIITI:StopPlace:77503",,"Grun-Bordas - Mairie",,,45.046562,0.652737,,,1,,,2,,
"MOBIITI:StopPlace:77511",,"Eglise Neuve de Vergt - Le Bost",,,45.084347,0.735706,,,1,,,2,,
"MOBIITI:StopPlace:77512",,"Eglise Neuve de Vergt - La Berthomarie",,,45.092564,0.742950,,,1,,,2,,
"MOBIITI:StopPlace:77510",,"Chalagnac - Les Bitarelles",,,45.100403,0.694366,,,1,,,2,,
"MOBIITI:StopPlace:77519",,"La Douze - Les Pradelles",,,45.051613,0.860153,,,1,,,2,,
"MOBIITI:StopPlace:77517",,"La Douze - Lot. le Breuilh",,,45.063553,0.864191,,,1,,,2,,
"MOBIITI:StopPlace:2565",,"LR TRELISSAC-Le Bourg",,,45.194981,0.779875,"",,1,,,0,,
"MOBIITI:StopPlace:77518",,"La Douze - Les Révélies",,,45.084023,0.857898,,,1,,,2,,
"MOBIITI:StopPlace:77515",,"Lacropte - Saute Haute",,,45.063408,0.830941,,,1,,,2,,
"MOBIITI:StopPlace:77516",,"La Douze - PLace de la Poste",,,45.061253,0.864637,,,1,,,2,,
"MOBIITI:StopPlace:77513",,"Chalagnac - Les Granges",,,45.094212,0.676121,,,1,,,2,,
"MOBIITI:StopPlace:77514",,"Lacropte - Fontroubade Entrepôt",,,45.061161,0.819819,,,1,,,2,,
"MOBIITI:Quay:112014","ITi01","Imprimerie du Timbre",,"poteau",45.181507,0.769810,,,0,"MOBIITI:StopPlace:77259",,2,,
"MOBIITI:Quay:112256","AgoGa01","Agonac Gare",,,45.287010,0.747211,,,0,"MOBIITI:StopPlace:77420",,2,,
